X,Y,Z,Al_%,Si_%,S_%,K_%,Ca_%,Ti_%,V_%,Mn_%,Fe_%,Ni_%,Cu_%,Zn_%,As_%,Y_%,Sr_%,Zr_%,Pb_%,Rb_%,Bi_%,U_%,Co_%
8.2,0.2,2.439,9.296,5.8664,0.017,0.9188,12.635,0.117,0.0321,0.6538,0.7481,0.0059,0,0,0,0.007,0.021,0.0222,0.0203,0,0,0.0917,0.0041
8.4,0.2,2.439,19.6791,6.654,0.1057,0.9979,10.1236,0.0908,0.0282,0.4339,1.2233,0.0134,0.0012,0.0044,0.003,0.01,0.027,0.0111,0,0,0.0078,0.0823,0.0006
8.6,0.2,2.439,8.1412,7.9243,0.218,1.0965,10.6613,0.141,0.0324,0.5319,0.8056,0.0081,0.0017,0.0041,0.01,0.0109,0.0073,0.0254,0,0.003,0,0.0587,0.0038
8.8,0.2,2.439,2.1159,6.3319,0.0558,0.9647,12.1507,0.1531,0.0363,0.6776,0.8714,0.0035,0,0.0101,0.0131,0.0248,0.0208,0.0154,0.0062,0.0223,0,0.1346,0.0025
9,0.2,2.439,19.9635,3.7157,0.0643,0.6873,12.3024,0.0925,0.0237,0.4767,0.5992,0.0018,0,0.003,0,0.0097,0.021,0.0134,0.0036,0.0017,0,0.0622,0.0017
9.2,0.2,2.439,3.2429,3.5099,0.0163,0.8835,12.4894,0.1448,0.0242,0.719,0.8261,0,0,0.0088,0,0.0102,0,0.0346,0.0354,0.0098,0.0259,0.0683,0
9.4,0.2,2.439,18.164,6.5121,0.1069,1.0422,10.7429,0.0938,0.0218,0.4691,0.7204,0.0021,0,0.0083,0.0099,0.006,0.0031,0.0157,0,0.0088,0.0312,0.0583,0.0018
9.6,0.2,2.439,4.9299,8.0961,0.3069,0.9558,10.6316,0.1884,0.0296,0.6364,1.1247,0.0056,0,0.0045,0.0039,0,0.0277,0.0176,0.0148,0.0097,0.0108,0.1148,0.0054
9.8,0.2,2.439,4.6911,7.5606,0,0.8861,11.1114,0.138,0.0291,0.5862,0.9527,0.0034,0,0.005,0.0025,0.0345,0.0265,0.0203,0.0107,0.0205,0.014,0.1226,0.0078
0,0.4,2.439,3.3072,3.188,2.3943,0.7335,11.5426,0.0965,0.0204,0.5675,0.7046,0.0075,0,0,0,0,0.0194,0.0057,0.0085,0.0254,0.0127,0.074,0.0035
0.2,0.4,2.439,5.0106,3.7035,2.1624,0.6929,11.9896,0.1058,0.0194,0.5276,0.7065,0.0066,0,0.0099,0,0.0206,0.0078,0.0283,0.0085,0,0.0134,0.0955,0.002
0.4,0.4,2.439,9.1055,0,2.2555,0.6667,11.1614,0.1019,0.0295,0.5294,0.6471,0.0027,0,0.0077,0,0.0146,0.0179,0.0325,0,0.0043,0.0205,0.0764,0.0022
0.6,0.4,2.439,0,1.8657,1.7594,0.7732,10.8251,0.1148,0.0546,0.6045,1.022,0.0052,0,0.0052,0.0074,0.0157,0.0188,0.0195,0.0101,0.0039,0.0122,0.0446,0.0019
0.8,0.4,2.439,1.9327,3.0753,1.8332,0.7893,11.7689,0.0971,0.0323,0.6282,0.8226,0.0054,0,0.0041,0.0195,0.0107,0.035,0.0415,0,0.0076,0.0171,0.1357,0.0014
1,0.4,2.439,2.8215,2.5203,2.7033,0.8528,10.667,0.1144,0.0473,0.5182,0.8978,0.0048,0.0026,0.008,0.0159,0.0071,0.0438,0.0151,0.0121,0.0034,0.0329,0.1188,0.0048
1.2,0.4,2.439,0,3.2478,1.9686,0.8333,11.8375,0.1275,0.0427,0.7213,0.8292,0,0,0.008,0.0034,0.0197,0.0383,0.0044,0.0079,0.0161,0.016,0.1138,0.0126
1.4,0.4,2.439,3.1122,4.2989,1.704,0.8776,10.9541,0.1215,0.0288,0.5588,0.8072,0.0105,0,0.0086,0.0087,0.0426,0.0069,0.0188,0.0116,0.0206,0.0214,0.2187,0.0015
1.6,0.4,2.439,9.4449,4.4321,1.0082,0.9655,9.6586,0.1017,0.0351,0.4734,0.7578,0.0019,0,0.0073,0.0069,0.0156,0.01,0.011,0,0.0097,0,0.0814,0
1.8,0.4,2.439,10.618,6.0555,0.9456,0.9429,10.3381,0.1009,0.0319,0.4533,0.6755,0.0056,0,0.0035,0.0091,0.0148,0.0283,0.0249,0,0.0108,0,0,0
2,0.4,2.439,12.0452,3.2349,1.2541,0.8172,11.2283,0.0962,0.0283,0.4658,0.6027,0,0.0049,0.0089,0,0.0098,0.0143,0.0014,0.0376,0.0071,0.0179,0.0523,0
2.2,0.4,2.439,5.1063,2.6608,0.8288,0.8553,12.2081,0.1072,0.03,0.6072,0.7168,0.0045,0,0.0141,0.0037,0.0167,0.0103,0.0376,0.0417,0,0.037,0.19,0.0019
2.4,0.4,2.439,7.1575,5.0585,0,0.9378,11.5264,0.0981,0.0249,0.5464,0.6556,0.009,0.0034,0,0.0018,0.0012,0.0193,0.0072,0.0122,0.0044,0.0076,0.0426,0.0012
2.6,0.4,2.439,0,3.1289,0.2074,0.8085,12.5679,0.1262,0.0345,0.7487,0.8878,0.0145,0,0.0223,0,0.0209,0.0277,0.0107,0.0173,0,0.0315,0.1311,0.0021
2.8,0.4,2.439,13.892,4.7552,1.3978,0.7707,11.7615,0.0837,0.0279,0.4571,0.5127,0.0107,0,0.0033,0.0053,0.0074,0.0039,0.0134,0.0254,0.0052,0,0.0728,0.0018
3,0.4,2.439,10.5769,5.2084,0.0831,0.9583,11.0145,0.0943,0.0475,0.5172,0.6317,0.0085,0,0.0033,0,0.0092,0.0322,0.0194,0.038,0.0192,0,0.0937,0.0006
3.2,0.4,2.439,16.0735,4.6822,0,0.9193,11.3083,0.0663,0.0309,0.5171,0.5475,0,0,0,0.0027,0.0064,0.0233,0.0181,0.0113,0,0.0079,0.0486,0
3.4,0.4,2.439,9.534,3.4421,0.1941,0.9212,11.6694,0.0868,0.0314,0.5721,0.6636,0.0031,0.0038,0.0037,0.0023,0.0167,0.0431,0.0136,0.0097,0,0.0155,0.1305,0.0023
3.6,0.4,2.439,5.1588,4.1693,0.2047,0.8371,11.5447,0.1155,0.0318,0.5761,0.7446,0.0074,0,0,0.0086,0,0.0132,0.0237,0.01,0.018,0.008,0.052,0.0024
3.8,0.4,2.439,10.1784,6.8303,0,0.9731,10.5282,0.0816,0.0433,0.5087,0.7085,0.0128,0.0025,0.0072,0.0131,0.0102,0.0171,0.0057,0,0.0171,0.0466,0.0603,0.0007
4,0.4,2.439,9.8829,4.4053,0.1787,0.9132,11.3723,0.1057,0.0296,0.5128,0.6582,0.0102,0.0034,0.0138,0.0082,0.0066,0.0038,0.0074,0.0102,0.0156,0.0169,0.059,0
4.2,0.4,2.439,7.8101,3.779,0.1264,1.0272,11.1779,0.1046,0.04,0.5749,0.7264,0.0046,0.0062,0.015,0,0.0152,0.0108,0.0212,0.0116,0.0109,0.0079,0.0863,0.0052
4.4,0.4,2.439,11.3029,6.2011,0.1513,1.0786,10.639,0.1384,0.0543,0.5197,0.7502,0.0034,0,0.0063,0.0079,0.0193,0.0107,0.0233,0.0128,0.0031,0.0124,0.0981,0.0023
4.6,0.4,2.439,3.3416,4.7984,0.0597,1.1396,10.288,0.1495,0.0923,0.6069,1.1429,0.0192,0,0.0116,0.0216,0.0151,0.0276,0.038,0,0.0041,0.0158,0,0
4.8,0.4,2.439,11.174,4.0411,0,1.026,10.6701,0.1255,0.0626,0.518,0.7222,0.0065,0,0,0.0026,0.0103,0.0173,0.0193,0.013,0.0032,0,0.0708,0.0038
5,0.4,2.439,5.829,4.1214,0.0536,0.852,12.0857,0.0805,0.0541,0.6155,0.7026,0,0,0.0104,0,0.0077,0.0113,0.0276,0.013,0.0022,0,0.0716,0
5.2,0.4,2.439,0,5.9517,0,0.9514,10.6631,0.1295,0.0615,0.6775,0.7769,0.0075,0,0.004,0,0.0021,0.0364,0.0306,0.0114,0.0347,0,0.0674,0.0054
5.4,0.4,2.439,0,4.29,0.035,1.0499,11.4196,0.1528,0.0905,0.7571,1.059,0.007,0.0034,0.015,0.0172,0,0,0.0071,0.0174,0.0254,0,0.1508,0.0038
