X,Y_c,Z,Al,Si,S,K,Ca,Ti,V,Mn,Fe,Ni,Cu,Zn,As,Y,Sr,Zr,Pb,Rb,Bi,U,Co,La,Ce,maxElement,minElement,maxValue,minValue
7.299,7.299,0,11.0161,13.7379,0.0,1.9401,16.5021,0.4959,0.0926,1.0115,1.4027,0.0091,0.0,0.0052,0.0275,0.0447,0.0682,0.0203,0.0,0.0,0.0396,0.1623,0.0104,0.0108,0.0,Ca,S,16.5021,0.0
7.399,7.299,0,12.285,4.8132,0.0,1.9984,18.0522,0.4472,0.0925,1.152,1.6512,0.0346,0.0122,0.0,0.0145,0.0862,0.0792,0.0844,0.0586,0.0324,0.0431,0.3039,0.016,0.0,0.0,Ca,S,18.0522,0.0
7.499,7.299,0,23.247,12.4482,0.1782,2.1074,19.3419,0.2329,0.0714,0.8669,1.26,0.0204,0.0,0.0358,0.0,0.0361,0.0464,0.0589,0.0105,0.024,0.0,0.3963,0.0236,0.0,0.0,Al,Cu,23.247,0.0
7.599,7.299,0,13.8553,5.0184,0.0436,2.0175,21.1032,0.2733,0.0921,1.0838,1.671,0.0171,0.0,0.0211,0.0,0.0924,0.0598,0.0445,0.0921,0.0096,0.0,0.3642,0.0328,0.0,0.0,Ca,Cu,21.1032,0.0
7.699,7.299,0,39.6533,6.7074,0.0352,2.0868,19.3837,0.2014,0.0567,0.74,1.1424,0.0,0.0,0.0266,0.0,0.0264,0.0195,0.0145,0.052,0.0,0.0,0.114,0.0122,0.0,0.0,Al,Ni,39.6533,0.0
7.799,7.299,0,53.854,13.7439,0.0,2.2356,18.6097,0.1919,0.0661,0.7301,1.0483,0.0076,0.0,0.0063,0.0306,0.0,0.0171,0.0337,0.0,0.0163,0.0,0.1345,0.014,0.0,0.0,Al,S,53.854,0.0
7.899,7.299,0,14.1792,6.947,0.0,2.1198,19.889,0.3055,0.1129,1.0225,1.5754,0.0,0.0,0.0377,0.0,0.0328,0.0165,0.0679,0.0631,0.0295,0.0,0.0431,0.0088,0.0,0.0,Ca,S,19.889,0.0
0.0,7.399,0,2.3202,11.7278,0.0,2.0725,17.9043,0.2482,0.0605,0.9773,1.7565,0.0,0.0,0.0405,0.0,0.0626,0.0685,0.1298,0.0576,0.0401,0.0,0.3855,0.0,0.0,0.0098,Ca,S,17.9043,0.0
0.1,7.399,0,8.2404,12.615,0.0,1.8786,17.758,0.2564,0.056,0.9357,1.5321,0.0283,0.0069,0.0,0.0155,0.0,0.0,0.1111,0.0202,0.0497,0.0,0.1855,0.0074,0.0,0.0491,Ca,S,17.758,0.0
0.2,7.399,0,16.5867,10.2046,0.0,2.0811,17.5525,0.2889,0.0429,0.8446,1.4684,0.0057,0.0,0.0309,0.0,0.0608,0.1022,0.0466,0.0496,0.0088,0.0,0.1665,0.0041,0.0,0.0097,Ca,S,17.5525,0.0
0.3,7.399,0,0.0,6.7823,0.0,1.868,18.1679,0.3901,0.0517,1.1918,2.0586,0.0139,0.0,0.0607,0.0534,0.0573,0.0244,0.0799,0.0,0.0102,0.0301,0.1076,0.016,0.0,0.0,Ca,Al,18.1679,0.0
0.4,7.399,0,19.9688,13.0525,0.0,2.1843,17.2451,0.2529,0.0347,0.7534,1.3779,0.0,0.0078,0.0185,0.0237,0.076,0.0409,0.1019,0.0202,0.0197,0.0,0.159,0.0039,0.0241,0.0225,Al,S,19.9688,0.0
0.5,7.399,0,10.9177,5.058,0.0,1.9445,17.7182,0.2359,0.0444,1.0329,1.7366,0.0045,0.0,0.0,0.0101,0.0504,0.0362,0.0836,0.079,0.0336,0.1229,0.404,0.0162,0.0,0.0,Ca,S,17.7182,0.0
0.6,7.399,0,12.6449,13.6559,0.0638,2.0201,17.2462,0.2563,0.0196,0.8304,1.4348,0.0,0.0062,0.0073,0.0,0.032,0.0416,0.1357,0.0517,0.0,0.0192,0.0843,0.0105,0.0184,0.0079,Ca,Ni,17.2462,0.0
